Generation;Worst;0-10%;10-20%;20-30%;30-40%;40-50%;50-60%;60-70%;70-80%;80-90%;90-100%;Best
197;0,272000;0,399680;0,543120;0,617360;0,663600;0,709440;0,759520;0,795600;0,825760;0,859040;0,906400;0,960000
198;0,272000;0,385520;0,537680;0,618480;0,670160;0,720560;0,767200;0,802960;0,831600;0,859200;0,902720;0,960000
199;0,272000;0,390560;0,551040;0,624960;0,681840;0,731680;0,773360;0,806000;0,832880;0,861280;0,905440;0,960000
200;0,272000;0,394720;0,559520;0,638320;0,684240;0,732320;0,773200;0,807600;0,836240;0,865200;0,909360;0,960000
201;0,272000;0,402640;0,561760;0,643760;0,690000;0,734560;0,774560;0,807840;0,837280;0,869440;0,910400;0,960000
202;0,272000;0,423440;0,565840;0,649200;0,703600;0,751360;0,788480;0,823360;0,845280;0,875600;0,912240;0,960000
203;0,272000;0,429520;0,588800;0,664240;0,712480;0,755680;0,790000;0,821120;0,844960;0,873200;0,911600;0,960000
204;0,272000;0,407440;0,578720;0,665280;0,720800;0,766560;0,798080;0,827840;0,848800;0,877040;0,914560;0,960000
205;0,272000;0,392000;0,552480;0,655520;0,717040;0,762480;0,793120;0,819760;0,847280;0,879920;0,916160;0,960000
206;0,272000;0,399840;0,560160;0,665040;0,725520;0,767040;0,798880;0,827680;0,853840;0,884240;0,917040;0,960000
207;0,272000;0,433200;0,598880;0,685760;0,739600;0,775280;0,804800;0,830480;0,853040;0,880480;0,915840;0,960000
208;0,272000;0,424560;0,602400;0,687440;0,744880;0,778720;0,807440;0,833920;0,858640;0,883360;0,915680;0,960000
209;0,280000;0,454480;0,637040;0,700000;0,747760;0,782400;0,812560;0,838560;0,860240;0,885440;0,918480;0,960000
210;0,280000;0,474800;0,642960;0,705760;0,752800;0,791360;0,818000;0,843040;0,865040;0,888400;0,920160;0,960000
211;0,272000;0,463600;0,630720;0,697600;0,744240;0,783760;0,815280;0,840240;0,863200;0,887920;0,920720;0,960000
212;0,272000;0,475280;0,632480;0,695360;0,743840;0,784000;0,820320;0,843760;0,865840;0,890240;0,922000;0,960000
213;0,272000;0,462000;0,630160;0,700080;0,749520;0,788320;0,817520;0,838960;0,858800;0,886880;0,920080;0,960000
214;0,272000;0,475760;0,643520;0,707920;0,755680;0,794400;0,824560;0,844160;0,866560;0,893920;0,923600;0,960000
215;0,272000;0,478320;0,642080;0,701760;0,753360;0,792960;0,823040;0,845600;0,867440;0,895520;0,923280;0,960000
216;0,272000;0,458400;0,633760;0,702720;0,759040;0,792720;0,822400;0,842160;0,863440;0,892560;0,920560;0,960000
217;0,272000;0,474240;0,630640;0,701120;0,752880;0,790960;0,824400;0,847680;0,868400;0,894240;0,923840;0,960000
218;0,272000;0,482400;0,632640;0,712320;0,768960;0,802320;0,829120;0,851520;0,874880;0,898720;0,925200;0,960000
219;0,272000;0,491440;0,636400;0,712560;0,768320;0,804320;0,833520;0,854160;0,875840;0,897280;0,926640;0,960000
220;0,272000;0,478160;0,641040;0,721200;0,771120;0,805120;0,833360;0,853680;0,875360;0,897040;0,925840;0,960000
