Generation;Worst;0-10%;10-20%;20-30%;30-40%;40-50%;50-60%;60-70%;70-80%;80-90%;90-100%;Best;Average
100;0,272000;0,572400;0,839200;0,864800;0,885600;0,893200;0,896000;0,896000;0,902400;0,904000;0,914400;0,928000;0,856800
101;0,272000;0,519200;0,834800;0,862800;0,886000;0,895600;0,896000;0,896000;0,903200;0,904000;0,916000;0,928000;0,851360
102;0,272000;0,477200;0,839600;0,856800;0,885200;0,896000;0,896000;0,896000;0,903600;0,904000;0,920000;0,928000;0,847440
103;0,272000;0,520000;0,795200;0,846400;0,872400;0,891200;0,896000;0,896000;0,902800;0,904000;0,920000;0,928000;0,844400
104;0,328000;0,440800;0,730000;0,844400;0,865200;0,890400;0,896000;0,896000;0,903600;0,904000;0,918000;0,928000;0,828840
105;0,328000;0,460400;0,662800;0,836400;0,848400;0,876400;0,893200;0,896000;0,899600;0,904000;0,919600;0,928000;0,819680
106;0,272000;0,481200;0,713200;0,836800;0,848000;0,870000;0,893600;0,896000;0,900000;0,904000;0,919600;0,928000;0,826240
107;0,328000;0,554800;0,810800;0,846800;0,878400;0,894000;0,896000;0,896000;0,900800;0,904000;0,916000;0,928000;0,849760
108;0,328000;0,512800;0,788000;0,873600;0,892800;0,896000;0,896000;0,898400;0,904000;0,904000;0,918800;0,928000;0,848440
109;0,328000;0,495600;0,816400;0,884400;0,896000;0,896000;0,896000;0,898800;0,904000;0,904000;0,915600;0,928000;0,850680
110;0,344000;0,556000;0,823200;0,874400;0,896000;0,896000;0,896000;0,903600;0,904000;0,904000;0,917200;0,928000;0,857040
111;0,328000;0,569600;0,844000;0,880400;0,896000;0,896000;0,896800;0,904000;0,904000;0,904000;0,918800;0,928000;0,861360
112;0,296000;0,626800;0,861600;0,890800;0,896000;0,896000;0,898000;0,904000;0,904000;0,904400;0,918800;0,928000;0,870040
113;0,328000;0,566400;0,834800;0,886400;0,896000;0,896000;0,896000;0,903600;0,904000;0,904000;0,917200;0,928000;0,860440
114;0,328000;0,466400;0,746400;0,868400;0,895200;0,896000;0,898800;0,904000;0,904000;0,905600;0,918800;0,928000;0,840360
115;0,272000;0,446000;0,665200;0,847600;0,892800;0,896000;0,897200;0,904000;0,904000;0,906400;0,920000;0,928000;0,827920
116;0,272000;0,496400;0,798400;0,884000;0,896000;0,896000;0,902000;0,904000;0,904000;0,908000;0,921600;0,928000;0,851040
117;0,352000;0,567600;0,860800;0,896000;0,896000;0,898400;0,904000;0,904000;0,904000;0,907600;0,922400;0,928000;0,866080
118;0,328000;0,525200;0,850800;0,896000;0,896000;0,896000;0,902000;0,904000;0,904000;0,910800;0,923600;0,928000;0,860840
119;0,328000;0,591600;0,842800;0,894000;0,896000;0,899200;0,904000;0,904000;0,904000;0,908800;0,923200;0,928000;0,866760
120;0,328000;0,652000;0,856000;0,894400;0,896000;0,900800;0,904000;0,904000;0,904000;0,909600;0,924000;0,928000;0,874480
121;0,272000;0,572400;0,860000;0,896000;0,896000;0,902000;0,904000;0,904000;0,904000;0,914000;0,924800;0,928000;0,867720
122;0,328000;0,477600;0,854000;0,896000;0,896000;0,901600;0,904000;0,904000;0,904000;0,911200;0,925200;0,928000;0,857360
123;0,352000;0,415600;0,828400;0,896000;0,896000;0,900800;0,904000;0,904000;0,904000;0,908000;0,924000;0,928000;0,848080
124;0,328000;0,450000;0,817600;0,891600;0,896000;0,898000;0,904000;0,904000;0,904000;0,904000;0,921600;0,928000;0,849080
125;0,328000;0,534000;0,852400;0,896000;0,896000;0,900800;0,904000;0,904000;0,904000;0,904000;0,920400;0,928000;0,861560
126;0,288000;0,558000;0,866000;0,896000;0,896000;0,904000;0,904000;0,904000;0,904000;0,906400;0,922800;0,928000;0,866120
127;0,288000;0,629200;0,891600;0,896000;0,902000;0,904000;0,904000;0,904000;0,904000;0,908800;0,922400;0,928000;0,876600
128;0,272000;0,596000;0,886000;0,896000;0,902000;0,904000;0,904000;0,904000;0,904000;0,906800;0,922000;0,928000;0,872480
129;0,272000;0,476400;0,802000;0,896000;0,897200;0,904000;0,904000;0,904000;0,904000;0,907200;0,921200;0,928000;0,851600
130;0,272000;0,575200;0,887200;0,896000;0,896000;0,902000;0,904000;0,904000;0,904000;0,904800;0,922000;0,928000;0,869520
131;0,424000;0,652800;0,895600;0,896000;0,896000;0,902400;0,904000;0,904000;0,904000;0,906400;0,922400;0,928000;0,878360
132;0,328000;0,561600;0,892400;0,896000;0,896000;0,904000;0,904000;0,904000;0,904000;0,907200;0,923600;0,928000;0,869280
133;0,272000;0,461200;0,847200;0,896000;0,896800;0,904000;0,904000;0,904000;0,904000;0,911200;0,924800;0,928000;0,855320
134;0,272000;0,559600;0,896000;0,896000;0,903600;0,904000;0,904000;0,904000;0,904000;0,908400;0,924400;0,928000;0,870400
135;0,336000;0,566400;0,895200;0,896000;0,901200;0,904000;0,904000;0,904000;0,904000;0,907600;0,922800;0,928000;0,870520
136;0,272000;0,549200;0,887600;0,896000;0,898400;0,904000;0,904000;0,904000;0,904000;0,905600;0,923200;0,928000;0,867600
137;0,328000;0,541600;0,872000;0,896000;0,899600;0,904000;0,904000;0,904000;0,904000;0,904000;0,920400;0,928000;0,864960
138;0,272000;0,532000;0,877600;0,896000;0,896400;0,904000;0,904000;0,904000;0,904000;0,905600;0,922800;0,928000;0,864640
139;0,328000;0,514400;0,855200;0,896000;0,896000;0,900800;0,904000;0,904000;0,904000;0,907600;0,923600;0,928000;0,860560
140;0,272000;0,488800;0,888800;0,896000;0,898400;0,904000;0,904000;0,904000;0,904000;0,913600;0,923200;0,928000;0,862480
141;0,328000;0,555600;0,896000;0,896000;0,896000;0,902800;0,904000;0,904000;0,904000;0,908000;0,921200;0,928000;0,868760
142;0,352000;0,507600;0,860000;0,896000;0,896000;0,900000;0,904000;0,904000;0,904000;0,907600;0,924800;0,928000;0,860400
143;0,352000;0,560800;0,896000;0,896000;0,898000;0,904000;0,904000;0,904000;0,904000;0,908000;0,925200;0,928000;0,870000
144;0,272000;0,601600;0,896000;0,896000;0,901200;0,904000;0,904000;0,904000;0,904000;0,909200;0,925200;0,928000;0,874520
145;0,272000;0,491600;0,829600;0,896000;0,900400;0,904000;0,904000;0,904000;0,904000;0,906800;0,922800;0,928000;0,856320
146;0,328000;0,554800;0,872000;0,896000;0,902000;0,904000;0,904000;0,904000;0,904000;0,904000;0,919600;0,928000;0,866440
147;0,328000;0,510800;0,755600;0,896000;0,898400;0,904000;0,904000;0,904000;0,904000;0,904000;0,919600;0,928000;0,850040
148;0,328000;0,436000;0,664400;0,896000;0,902000;0,904000;0,904000;0,904000;0,904000;0,904000;0,918800;0,928000;0,833720
149;0,344000;0,484400;0,758400;0,898400;0,904000;0,904000;0,904000;0,904000;0,904000;0,904000;0,922000;0,928000;0,848720
150;0,344000;0,524000;0,880800;0,899200;0,904000;0,904000;0,904000;0,904000;0,904000;0,906800;0,924400;0,928000;0,865520
151;0,328000;0,476400;0,782000;0,896000;0,903200;0,904000;0,904000;0,904000;0,904000;0,904000;0,920400;0,928000;0,849800
152;0,328000;0,527200;0,853600;0,896000;0,901600;0,904000;0,904000;0,904000;0,904000;0,904000;0,917200;0,928000;0,861560
153;0,344000;0,539600;0,896000;0,896000;0,902800;0,904000;0,904000;0,904000;0,904000;0,904000;0,917600;0,928000;0,867200
154;0,328000;0,607600;0,896000;0,896000;0,901200;0,904000;0,904000;0,904000;0,904000;0,904000;0,914800;0,928000;0,873560
155;0,328000;0,720400;0,896000;0,899200;0,904000;0,904000;0,904000;0,904000;0,904000;0,904000;0,914400;0,928000;0,885400
156;0,328000;0,630000;0,896000;0,896000;0,902400;0,904000;0,904000;0,904000;0,904000;0,904000;0,918000;0,928000;0,876240
157;0,352000;0,622000;0,896000;0,896000;0,902800;0,904000;0,904000;0,904000;0,904000;0,906800;0,922800;0,928000;0,876240
158;0,328000;0,548000;0,889600;0,896000;0,902400;0,904000;0,904000;0,904000;0,904000;0,908000;0,923600;0,928000;0,868360
159;0,328000;0,532800;0,874800;0,896000;0,901200;0,904000;0,904000;0,904000;0,904000;0,913600;0,924800;0,928000;0,865920
160;0,328000;0,495600;0,846400;0,896000;0,900800;0,904000;0,904000;0,904000;0,904000;0,908800;0,926400;0,928000;0,859000
161;0,328000;0,540000;0,889600;0,896000;0,901600;0,904000;0,904000;0,904000;0,904000;0,912000;0,926800;0,928000;0,868200
162;0,328000;0,478000;0,869200;0,896000;0,896000;0,903600;0,904000;0,904000;0,904000;0,915200;0,926800;0,928000;0,859680
163;0,352000;0,571200;0,896000;0,896000;0,896800;0,904000;0,904000;0,904000;0,904000;0,908800;0,925200;0,928000;0,871000
164;0,344000;0,552800;0,891200;0,896000;0,896000;0,904000;0,904000;0,904000;0,904000;0,904800;0,922400;0,928000;0,867920
165;0,272000;0,547200;0,882400;0,896000;0,896400;0,904000;0,904000;0,904000;0,904000;0,912000;0,925200;0,928000;0,867520
166;0,272000;0,424000;0,813600;0,896000;0,896000;0,902400;0,904000;0,904000;0,904000;0,916000;0,927200;0,928000;0,848720
167;0,328000;0,478400;0,852800;0,896000;0,896400;0,904000;0,904000;0,904000;0,904000;0,912400;0,926400;0,928000;0,857840
168;0,272000;0,457200;0,828000;0,896000;0,898400;0,904000;0,904000;0,904000;0,904000;0,905200;0,924000;0,928000;0,852480
169;0,272000;0,463200;0,785600;0,896000;0,901200;0,904000;0,904000;0,904000;0,904000;0,907600;0,927200;0,928000;0,849680
170;0,272000;0,450800;0,840400;0,896400;0,904000;0,904000;0,904000;0,904000;0,904000;0,905600;0,926000;0,928000;0,853920
171;0,328000;0,651200;0,895600;0,901600;0,904000;0,904000;0,904000;0,904000;0,904000;0,906400;0,924800;0,928000;0,879960
172;0,344000;0,616800;0,896000;0,899600;0,904000;0,904000;0,904000;0,904000;0,904000;0,904400;0,924800;0,928000;0,876160
173;0,328000;0,450000;0,884800;0,900400;0,904000;0,904000;0,904000;0,904000;0,904000;0,904000;0,919200;0,928000;0,857840
174;0,280000;0,662000;0,896000;0,903600;0,904000;0,904000;0,904000;0,904000;0,904000;0,904000;0,918400;0,928000;0,880400
175;0,328000;0,689200;0,896800;0,904000;0,904000;0,904000;0,904000;0,904000;0,904000;0,904000;0,916800;0,928000;0,883080
176;0,448000;0,667600;0,898400;0,904000;0,904000;0,904000;0,904000;0,904000;0,904000;0,904000;0,918800;0,928000;0,881280
177;0,344000;0,490000;0,888400;0,903600;0,904000;0,904000;0,904000;0,904000;0,904000;0,904000;0,921600;0,928000;0,862760
178;0,328000;0,681200;0,896000;0,902400;0,904000;0,904000;0,904000;0,904000;0,904000;0,904000;0,920000;0,928000;0,882360
179;0,352000;0,667200;0,896400;0,904000;0,904000;0,904000;0,904000;0,904000;0,904000;0,904000;0,919200;0,928000;0,881080
180;0,328000;0,630800;0,896000;0,903600;0,904000;0,904000;0,904000;0,904000;0,904000;0,904000;0,919600;0,928000;0,877400
181;0,328000;0,652800;0,896000;0,900800;0,904000;0,904000;0,904000;0,904000;0,904000;0,905600;0,922400;0,928000;0,879760
182;0,328000;0,687600;0,896000;0,903600;0,904000;0,904000;0,904000;0,904000;0,904000;0,910400;0,925600;0,928000;0,884320
183;0,272000;0,416000;0,792000;0,896000;0,902000;0,904000;0,904000;0,904000;0,904000;0,917600;0,926000;0,928000;0,846560
184;0,352000;0,510400;0,885600;0,901200;0,904000;0,904000;0,904000;0,904000;0,905200;0,918400;0,925600;0,928000;0,866240
185;0,328000;0,497200;0,863600;0,902400;0,904000;0,904000;0,904000;0,904000;0,904000;0,915200;0,924000;0,928000;0,862240
186;0,320000;0,492000;0,869600;0,904000;0,904000;0,904000;0,904000;0,904000;0,904800;0,915600;0,925200;0,928000;0,862720
187;0,352000;0,544000;0,886000;0,904000;0,904000;0,904000;0,904000;0,904000;0,904000;0,917600;0,927200;0,928000;0,869880
188;0,352000;0,496800;0,827600;0,902800;0,904000;0,904000;0,904000;0,904000;0,904400;0,917200;0,926000;0,928000;0,859080
189;0,272000;0,531200;0,894400;0,904000;0,904000;0,904000;0,904000;0,904000;0,906000;0,920000;0,926000;0,928000;0,869760
190;0,320000;0,530000;0,893600;0,903200;0,904000;0,904000;0,904000;0,904000;0,904000;0,916800;0,924000;0,928000;0,868760
191;0,352000;0,674800;0,896000;0,903600;0,904000;0,904000;0,904000;0,904000;0,904000;0,911200;0,922800;0,928000;0,882840
192;0,328000;0,758400;0,896000;0,904000;0,904000;0,904000;0,904000;0,904000;0,904000;0,913600;0,922400;0,928000;0,891440
193;0,312000;0,802400;0,903200;0,904000;0,904000;0,904000;0,904000;0,904000;0,904000;0,912000;0,922400;0,928000;0,896400
194;0,352000;0,664400;0,898000;0,904000;0,904000;0,904000;0,904000;0,904000;0,904000;0,910000;0,922000;0,928000;0,881840
195;0,464000;0,736400;0,899200;0,904000;0,904000;0,904000;0,904000;0,904000;0,904000;0,910800;0,924000;0,928000;0,889440
196;0,328000;0,628000;0,896000;0,903600;0,904000;0,904000;0,904000;0,904000;0,904000;0,908400;0,923600;0,928000;0,877960
197;0,328000;0,716800;0,899600;0,904000;0,904000;0,904000;0,904000;0,904000;0,904000;0,905200;0,920800;0,928000;0,886640
198;0,328000;0,616800;0,902000;0,904000;0,904000;0,904000;0,904000;0,904000;0,904000;0,906000;0,923600;0,928000;0,877240
199;0,328000;0,652400;0,901600;0,904000;0,904000;0,904000;0,904000;0,904000;0,904000;0,912000;0,927600;0,928000;0,881760
200;0,272000;0,613200;0,892800;0,904000;0,904000;0,904000;0,904000;0,904000;0,904000;0,911200;0,926800;0,928000;0,876800
201;0,328000;0,424000;0,797200;0,902800;0,904000;0,904000;0,904000;0,904000;0,904000;0,910000;0,926400;0,928000;0,848040
202;0,288000;0,410800;0,584400;0,875600;0,904000;0,904000;0,904000;0,904000;0,904000;0,912000;0,926800;0,928000;0,822960
203;0,320000;0,434800;0,642800;0,884800;0,904000;0,904000;0,904000;0,904000;0,904000;0,905200;0,925200;0,928000;0,831280
204;0,328000;0,436000;0,744800;0,902400;0,904000;0,904000;0,904000;0,904000;0,904000;0,904000;0,921600;0,928000;0,842880
